city,estimable,hours,reason,n_peri,n_core,separation,f_mean,f_p10,f_p90,month_min,month_max,hour_min,hour_max,pct_ordered,r_f_nstations,P1,P2,P3
Xichang,False,0.0,too few hours,,,,,,,,,,,,,,,
Chiang Mai,True,12368.0,,4.0,5.0,0.625,0.157,-0.083,0.462,0.025,0.329,0.086,0.273,0.78,0.241,True,False,True
Bazhong,True,32305.0,,4.0,4.0,0.636,0.139,-0.014,0.333,0.101,0.175,0.098,0.235,0.866,0.004,True,False,True
Chandigarh,False,,too few peripheral stations,1.0,,,,,,,,,,,,,,
Kathmandu Valley,True,2449.0,,13.0,14.0,0.662,0.342,0.096,0.774,0.29,0.482,0.244,0.487,0.98,-0.331,True,True,True
Baoji,True,43175.0,,6.0,6.0,0.667,0.247,0.045,0.479,0.205,0.311,0.185,0.293,0.95,0.046,True,False,True
Tai'an,True,32865.0,,4.0,5.0,0.654,0.162,-0.025,0.406,0.121,0.243,0.115,0.195,0.858,0.012,True,False,True
Yichang,True,28138.0,,4.0,5.0,0.625,0.109,-0.072,0.317,0.033,0.196,0.071,0.139,0.755,0.013,True,False,True
Medellín,True,37026.0,,5.0,6.0,0.676,0.354,0.113,0.614,0.209,0.432,0.308,0.413,0.974,0.042,True,True,True
Bogotá,True,8073.0,,6.0,7.0,0.658,0.499,0.252,0.733,0.425,0.598,0.439,0.602,0.994,0.053,True,True,True
