slug,city,n_heldout,n_ranked,rho,ci5,ci95,p_perm
xichang,Xichang,9,9,0.06694619270045785,-0.6842105263157895,0.9449541284403669,0.8665
chiangmai,Chiang Mai,31,11,-0.06363636363636364,-0.6208530805687204,0.4747080667531646,0.8596
bazhou,Bazhong (Sichuan),9,9,0.09999999999999999,-0.5791052631578947,0.696969696969697,0.8118
chandigarh,Chandigarh,4,2,,,,
kathmandu,Kathmandu Valley,39,38,0.3922748659590765,0.09896730198640537,0.6411459215987673,0.0159
baoji,"Baoji (Wei R. valley, Shaanxi)",17,16,0.588063338321211,0.11817657229991577,0.9083200778912593,0.0199
taian,"Tai'an (foot of Mt Tai, Shandong)",11,11,0.6849386474658348,0.1574074074074074,0.9659764638541438,0.0234
yichang,"Yichang (Yangtze valley, Hubei)",12,10,0.12727272727272726,-0.629327688825551,0.7499999999999999,0.732
medellin,"Medellín (Aburrá Valley, Colombia)",22,16,0.7794117647058825,0.4895522388059702,0.9285714285714287,0.0006
bogota,"Bogotá (Sabana de Bogotá, Colombia)",20,17,0.6715686274509804,0.34896956703105264,0.8704937330780713,0.0034
